Protein,mf-go
A1A4Y4,GO:0005516
A1A4Y4,GO:0016301
A1A4Y4,GO:0140657
A1A4Y4,GO:0019778
A1A4Y4,GO:0016877
A1A4Y4,GO:0000166
A1A4Y4,GO:0004672
A1A4Y4,GO:0016818
A1A4Y4,GO:0008047
A1A4Y4,GO:0003925
A1A4Y4,GO:0035639
A1A4Y4,GO:0003824
A1A4Y4,GO:0016787
A1A4Y4,GO:0043169
A1A4Y4,GO:0030234
A1A4Y4,GO:0030295
A1A4Y4,GO:0004674
A1A4Y4,GO:0019900
A1A4Y4,GO:0097367
A1A4Y4,GO:0140677
A1A4Y4,GO:1901265
A1A4Y4,GO:0019786
A1A4Y4,GO:0019001
A1A4Y4,GO:0016462
A1A4Y4,GO:0036094
A1A4Y4,GO:0019207
A1A4Y4,GO:0005525
A1A4Y4,GO:0019787
A1A4Y4,GO:0017111
A1A4Y4,GO:0019904
A1A4Y4,GO:0008641
A1A4Y4,GO:0016874
A1A4Y4,GO:0005515
A1A4Y4,GO:0046872
A1A4Y4,GO:0005488
A1A4Y4,GO:0016746
A1A4Y4,GO:0019887
A1A4Y4,GO:0019901
A1A4Y4,GO:0016887
A1A4Y4,GO:0016755
A1A4Y4,GO:0019777
A1A4Y4,GO:0140096
A1A519,GO:0000977
A1A519,GO:0000981
A1A519,GO:0003690
A1A519,GO:1990837
A1A519,GO:0003700
A1A519,GO:0140110
A1A519,GO:0005488
A1A519,GO:0000976
A1A519,GO:0043565
A1A519,GO:0001067
A1A519,GO:0003674
A1A519,GO:0003676
A1A519,GO:0003677
A1A580,GO:0005488
A1A580,GO:0003674
A1A580,GO:0005515
A1A5B4,GO:0015276
A1A5B4,GO:0008509
A1A5B4,GO:0016247
A1A5B4,GO:0099106
A1A5B4,GO:0005216
A1A5B4,GO:0015108
A1A5B4,GO:0141108
A1A5B4,GO:0015085
A1A5B4,GO:0044325
A1A5B4,GO:0015267
A1A5B4,GO:0005262
A1A5B4,GO:0022857
A1A5B4,GO:0140104
A1A5B4,GO:0005515
A1A5B4,GO:0046873
A1A5B4,GO:0022836
A1A5B4,GO:0005488
A1A5B4,GO:0022803
A1A5B4,GO:0140678
A1A5B4,GO:0022834
A1A5B4,GO:0015075
A1A5B4,GO:0005261
A1A5B4,GO:0005215
A1A5B4,GO:0008324
A1A5B4,GO:0005319
A1A5B4,GO:0003674
A1A5B4,GO:0098772
A1A5B4,GO:0046983
A1A5C7,GO:0005488
A1A5C7,GO:0003674
A1A5C7,GO:0005215
A1A5C7,GO:0022857
A1A5C7,GO:0005515
A1A5D9,GO:0005488
A1A5D9,GO:0051020
A1A5D9,GO:0031267
A1A5D9,GO:0003674
A1A5D9,GO:0005515
A1A5D9,GO:0019899
A1E959,GO:0005515
A1E959,GO:0005488
A1E959,GO:0003674
A1IGU5,GO:0005488
A1IGU5,GO:0005085
A1IGU5,GO:0030695
A1IGU5,GO:0060589
A1IGU5,GO:0003674
A1IGU5,GO:0098772
A1IGU5,GO:0005515
A1IGU5,GO:0030234
A1KZ92,GO:0005488
A1KZ92,GO:0016491
A1KZ92,GO:0020037
A1KZ92,GO:0003824
A1KZ92,GO:0046906
A1KZ92,GO:0003674
A1L020,GO:0005488
A1L020,GO:0003723
A1L020,GO:0003674
A1L020,GO:0003676
A1L0T0,GO:0005488
A1L0T0,GO:1901681
A1L0T0,GO:0043167
A1L0T0,GO:0043168
A1L0T0,GO:1901265
A1L0T0,GO:0000287
A1L0T0,GO:0003824
A1L0T0,GO:1901363
A1L0T0,GO:0003674
A1L0T0,GO:0043169
A1L0T0,GO:0036094
A1L0T0,GO:0005515
A1L0T0,GO:0019842
A1L0T0,GO:0000166
A1L0T0,GO:0046872
A1L162,GO:0003674
A1L162,GO:0005488
A1L162,GO:0005515
A1L167,GO:0005488
A1L167,GO:0019787
A1L167,GO:0016740
A1L167,GO:0016755
A1L167,GO:0003824
A1L167,GO:0004842
A1L167,GO:0061650
A1L167,GO:0003674
A1L167,GO:0016746
A1L167,GO:0005515
A1L167,GO:0140096
A1L168,GO:0003674
A1L168,GO:0005488
A1L168,GO:0005515
A1L170,GO:0003674
A1L170,GO:0005488
A1L170,GO:0005515
A1L188,GO:0005488
A1L188,GO:0003674
A1L188,GO:0005515
A1L190,GO:0005488
A1L190,GO:0003674
A1L190,GO:0005515
A1L390,GO:0005488
A1L390,GO:0051020
A1L390,GO:0008092
A1L390,GO:0005085
A1L390,GO:0030695
A1L390,GO:0060589
A1L390,GO:0031267
A1L390,GO:0003674
A1L390,GO:0098772
A1L390,GO:0005515
A1L390,GO:0030234
A1L390,GO:0003779
A1L390,GO:0019899
A1L3X0,GO:0016740
A1L3X0,GO:0005515
A1L3X0,GO:0005488
A1L3X0,GO:0016746
A1L3X0,GO:0016747
A1L3X0,GO:0003824
A1L3X0,GO:0003674
A1L3X4,GO:0005488
A1L3X4,GO:0043167
A1L3X4,GO:0003674
A1L3X4,GO:0043169
A1L3X4,GO:0036094
A1L3X4,GO:0005515
A1L3X4,GO:0046872
A1L429,GO:0003674
A1L429,GO:0005488
A1L429,GO:0005515
A1L453,GO:0004252
A1L453,GO:0003824
A1L453,GO:0003674
A1L453,GO:0004175
A1L453,GO:0016787
A1L453,GO:0017171
A1L453,GO:0008233
A1L453,GO:0008236
A1L453,GO:0140096
A1L4H1,GO:0005488
A1L4H1,GO:0003674
A1L4H1,GO:0005515
A1L4H1,GO:0060090
A1L4K1,GO:0005488
A1L4K1,GO:0003674
A1L4K1,GO:0005515
A1X283,GO:1902936
A1X283,GO:0043168
A1X283,GO:0005543
A1X283,GO:0035091
A1X283,GO:0030234
A1X283,GO:0019904
A1X283,GO:0043167
A1X283,GO:0008289
A1X283,GO:0005515
A1X283,GO:0005488
A1X283,GO:0140677
A1X283,GO:0008047
A1X283,GO:1901981
A1X283,GO:0003674
A1X283,GO:0098772
A1X283,GO:0036094
A1XBS5,GO:0005543
A1XBS5,GO:0008289
A1XBS5,GO:0005515
A1XBS5,GO:0005488
A1XBS5,GO:0003674
A1YPR0,GO:0005488
A1YPR0,GO:0000977
A1YPR0,GO:0000976
A1YPR0,GO:0003690
A1YPR0,GO:0043565
A1YPR0,GO:1990837
A1YPR0,GO:0000981
A1YPR0,GO:0001067
A1YPR0,GO:0003700
A1YPR0,GO:0000987
A1YPR0,GO:0003674
A1YPR0,GO:0140110
A1YPR0,GO:0003676
A1YPR0,GO:0000978
A1YPR0,GO:0003677
A1Z1Q3,GO:0052689
A1Z1Q3,GO:0003824
A1Z1Q3,GO:0016798
A1Z1Q3,GO:0003674
A1Z1Q3,GO:0016787
A1Z1Q3,GO:0016788
A1Z1Q3,GO:0140096
A2A288,GO:0004519
A2A288,GO:0005488
A2A288,GO:0043167
A2A288,GO:0004518
A2A288,GO:0003824
A2A288,GO:0003723
A2A288,GO:0140640
A2A288,GO:0003674
A2A288,GO:0043169
A2A288,GO:0036094
A2A288,GO:0003676
A2A288,GO:0005515
A2A288,GO:0140098
A2A288,GO:0003729
A2A288,GO:0046872
A2A288,GO:0004540
A2A2V5,GO:0005488
A2A2V5,GO:0003674
A2A2V5,GO:0005515
A2A2Y4,GO:0005488
A2A2Y4,GO:0008092
A2A2Y4,GO:0003674
A2A2Y4,GO:0005515
A2A3K4,GO:0016791
A2A3K4,GO:0005488
A2A3K4,GO:0003824
A2A3K4,GO:0003674
A2A3K4,GO:0042578
A2A3K4,GO:0016787
A2A3K4,GO:0005515
A2A3K4,GO:0004721
A2A3K4,GO:0016788
A2A3K4,GO:0140096
A2A3L6,GO:0003674
A2A3L6,GO:0005488
A2A3L6,GO:0005515
A2A3N6,GO:0016740
A2A3N6,GO:0016301
A2A3N6,GO:0016772
A2A3N6,GO:0003824
A2A3N6,GO:0003674
A2A3N6,GO:0016773
A2AJT9,GO:0140110
A2AJT9,GO:0005488
A2AJT9,GO:0003712
A2AJT9,GO:0003674
A2AJT9,GO:0003676
A2AJT9,GO:0003677
A2CJ06,GO:0005488
A2CJ06,GO:0043167
A2CJ06,GO:0003674
A2CJ06,GO:0046914
A2CJ06,GO:0043169
A2CJ06,GO:0036094
A2CJ06,GO:0008270
A2CJ06,GO:0046872
A2PYH4,GO:0005488
A2PYH4,GO:0120545
A2PYH4,GO:0016887
A2PYH4,GO:0004386
A2PYH4,GO:0016818
A2PYH4,GO:0043167
A2PYH4,GO:0043168
A2PYH4,GO:0016462
A2PYH4,GO:1901265
A2PYH4,GO:0140657
A2PYH4,GO:0016817
A2PYH4,GO:0032559
A2PYH4,GO:0140097
A2PYH4,GO:0003824
A2PYH4,GO:1901363
A2PYH4,GO:0140640
A2PYH4,GO:0003674
A2PYH4,GO:0017076
A2PYH4,GO:0035639
A2PYH4,GO:0005524
A2PYH4,GO:0016787
A2PYH4,GO:0017111
A2PYH4,GO:0032555
A2PYH4,GO:0036094
A2PYH4,GO:0003676
A2PYH4,GO:0032553
A2PYH4,GO:0097367
A2PYH4,GO:0000166
A2PYH4,GO:0030554
A2PYH4,GO:0008094
A2PYH4,GO:0016853
A2PYH4,GO:0120543
A2RRD8,GO:0005488
A2RRD8,GO:0000977
A2RRD8,GO:0000976
A2RRD8,GO:0003690
A2RRD8,GO:0043565
A2RRD8,GO:1990837
A2RRD8,GO:0000981
A2RRD8,GO:0001067
A2RRD8,GO:0003700
A2RRD8,GO:0000987
A2RRD8,GO:0003674
A2RRD8,GO:0140110
A2RRD8,GO:0003676
A2RRD8,GO:0005515
A2RRD8,GO:0000978
A2RRD8,GO:0003677
A2RRH5,GO:0005488
A2RRH5,GO:0003674
A2RRH5,GO:0005515
A2RRP1,GO:0005515
A2RRP1,GO:0005488
A2RRP1,GO:0003674
A2RTX5,GO:0005488
A2RTX5,GO:0016740
A2RTX5,GO:0043167
A2RTX5,GO:0043168
A2RTX5,GO:1901265
A2RTX5,GO:0016874
A2RTX5,GO:0016755
A2RTX5,GO:0140101
A2RTX5,GO:0032559
A2RTX5,GO:0003824
A2RTX5,GO:1901363
A2RTX5,GO:0140640
A2RTX5,GO:0003674
A2RTX5,GO:0017076
A2RTX5,GO:0005524
A2RTX5,GO:0035639
A2RTX5,GO:0036094
A2RTX5,GO:0032555
A2RTX5,GO:0032553
A2RTX5,GO:0005515
A2RTX5,GO:0140098
A2RTX5,GO:0016746
A2RTX5,GO:0097367
A2RTX5,GO:0000048
A2RTX5,GO:0000166
A2RTX5,GO:0030554
A2RTX5,GO:0140096
A2RTY3,GO:0003674
A2RTY3,GO:0005488
A2RTY3,GO:0005515
A2RU14,GO:0005488
A2RU14,GO:0003674
A2RU14,GO:0005515
A2RU30,GO:0005102
A2RU30,GO:0005515
A2RU30,GO:0019899
A2RU30,GO:0005488
A2RU30,GO:0003674
A2RU48,GO:0005488
A2RU48,GO:0003674
A2RU48,GO:0005515
A2RU49,GO:0016740
A2RU49,GO:0016301
A2RU49,GO:0016772
A2RU49,GO:0003824
A2RU49,GO:0003674
A2RU49,GO:0016773
A2RU54,GO:0005488
A2RU54,GO:0000977
A2RU54,GO:0000976
A2RU54,GO:0003690
A2RU54,GO:0043565
A2RU54,GO:1990837
A2RU54,GO:0000981
A2RU54,GO:0001067
A2RU54,GO:0003700
A2RU54,GO:0003674
A2RU54,GO:0140110
A2RU54,GO:0003676
A2RU54,GO:0003677
A2RU67,GO:0005488
A2RU67,GO:0003674
A2RU67,GO:0005515
A2RUB6,GO:0015631
A2RUB6,GO:0042803
A2RUB6,GO:0042802
A2RUB6,GO:0005515
A2RUB6,GO:0008017
A2RUB6,GO:0005488
A2RUB6,GO:0008092
A2RUB6,GO:0003674
A2RUB6,GO:0046983
A2RUC4,GO:0005488
A2RUC4,GO:0016705
A2RUC4,GO:0043167
A2RUC4,GO:0016491
A2RUC4,GO:0140101
A2RUC4,GO:0003824
A2RUC4,GO:0003723
A2RUC4,GO:0140640
A2RUC4,GO:0003674
A2RUC4,GO:0046914
A2RUC4,GO:0043169
A2RUC4,GO:0036094
A2RUC4,GO:0003676
A2RUC4,GO:0005515
A2RUC4,GO:0005506
A2RUC4,GO:0140098
A2RUC4,GO:0046983
A2RUC4,GO:0042803
A2RUC4,GO:0042802
A2RUC4,GO:0046872
A2RUH7,GO:0005488
A2RUH7,GO:0003674
A2RUH7,GO:0005515
A2RUQ5,GO:0003674
A2RUQ5,GO:0005488
A2RUQ5,GO:0005515
A2RUR9,GO:0005488
A2RUR9,GO:0043177
A2RUR9,GO:0003674
A2RUR9,GO:0043167
A2RUR9,GO:0036094
A2RUR9,GO:0043168
A2RUR9,GO:0031406
A2RUS2,GO:0005488
A2RUS2,GO:0005085
A2RUS2,GO:0030695
A2RUS2,GO:0060589
A2RUS2,GO:0003674
A2RUS2,GO:0098772
A2RUS2,GO:0005515
A2RUS2,GO:0030234
A2RUT3,GO:0005488
A2RUT3,GO:0003674
A2RUT3,GO:0005515
A2RUU4,GO:0005488
A2RUU4,GO:0140677
A2RUU4,GO:0008047
A2RUU4,GO:0003674
A2RUU4,GO:0098772
A2RUU4,GO:0005515
A2RUU4,GO:0030234
A2VCK2,GO:0005488
A2VCK2,GO:0003674
A2VCK2,GO:0005515
A2VDF0,GO:0005488
A2VDF0,GO:0030246
A2VDF0,GO:0003824
A2VDF0,GO:0003674
A2VDF0,GO:0036094
A2VDF0,GO:0016853
A2VEC9,GO:0005515
A2VEC9,GO:0005488
A2VEC9,GO:0061134
A2VEC9,GO:0002020
A2VEC9,GO:0003674
A2VEC9,GO:0098772
A2VEC9,GO:0004857
A2VEC9,GO:0030414
A2VEC9,GO:0005198
A2VEC9,GO:0005201
A2VEC9,GO:0140678
A2VEC9,GO:0019899
A2VEC9,GO:0030234
A3KFT3,GO:0004930
A3KFT3,GO:0060089
A3KFT3,GO:0004984
A3KFT3,GO:0038023
A3KFT3,GO:0003674
A3KFT3,GO:0004888
A3KMH1,GO:0005488
A3KMH1,GO:0016887
A3KMH1,GO:0043167
A3KMH1,GO:0043168
A3KMH1,GO:0016462
A3KMH1,GO:1901265
A3KMH1,GO:0140657
A3KMH1,GO:0016817
A3KMH1,GO:0032559
A3KMH1,GO:0003824
A3KMH1,GO:1901363
A3KMH1,GO:0003674
A3KMH1,GO:0017076
A3KMH1,GO:0035639
A3KMH1,GO:0005524
A3KMH1,GO:0016787
A3KMH1,GO:0017111
A3KMH1,GO:0036094
A3KMH1,GO:0032555
A3KMH1,GO:0032553
A3KMH1,GO:0005515
A3KMH1,GO:0097367
A3KMH1,GO:0000166
A3KMH1,GO:0030554
A3KMH1,GO:0016818
A3QJZ6,GO:0140767
A3QJZ6,GO:0005488
A3QJZ6,GO:0030674
A3QJZ6,GO:0003674
A3QJZ6,GO:1990756
A3QJZ6,GO:0005515
A3QJZ6,GO:0060090
A3QJZ7,GO:0140767
A3QJZ7,GO:0005488
A3QJZ7,GO:0030674
A3QJZ7,GO:0003674
A3QJZ7,GO:1990756
A3QJZ7,GO:0005515
A3QJZ7,GO:0060090
A4D0S4,GO:0005198
A4D0S4,GO:0003674
A4D0S4,GO:0005201
A4D0T7,GO:0005488
A4D0T7,GO:0003674
A4D0T7,GO:0005515
A4D126,GO:0005488
A4D126,GO:0016740
A4D126,GO:0016772
A4D126,GO:0003824
A4D126,GO:0016779
A4D126,GO:0003674
A4D126,GO:0005515
A4D126,GO:0046983
A4D126,GO:0042803
A4D126,GO:0042802
A4D161,GO:0003674
A4D161,GO:0005488
A4D161,GO:0005515
A4D1B5,GO:0005488
A4D1B5,GO:0003674
A4D1B5,GO:0005515
A4D1B5,GO:0042277
A4D1E9,GO:0005525
A4D1E9,GO:0005488
A4D1E9,GO:0016818
A4D1E9,GO:0043167
A4D1E9,GO:0043168
A4D1E9,GO:0016462
A4D1E9,GO:1901265
A4D1E9,GO:0000287
A4D1E9,GO:0016787
A4D1E9,GO:0044877
A4D1E9,GO:0016817
A4D1E9,GO:0003824
A4D1E9,GO:1901363
A4D1E9,GO:0003723
A4D1E9,GO:0003674
A4D1E9,GO:0017076
A4D1E9,GO:0035639
A4D1E9,GO:0043169
A4D1E9,GO:0017111
A4D1E9,GO:0036094
A4D1E9,GO:0032555
A4D1E9,GO:0003676
A4D1E9,GO:0032553
A4D1E9,GO:0005515
A4D1E9,GO:0097367
A4D1E9,GO:0000166
A4D1E9,GO:0032561
A4D1E9,GO:0043021
A4D1E9,GO:0046872
A4D1E9,GO:0043022
A4D1E9,GO:0003924
A4D1E9,GO:0019001
A4D1P6,GO:0030234
A4D1P6,GO:0019900
A4D1P6,GO:0005515
A4D1P6,GO:0019899
A4D1P6,GO:0005488
A4D1P6,GO:0003674
A4D1P6,GO:0098772
A4D1P6,GO:0019207
A4D1S5,GO:0005525
A4D1S5,GO:0019787
A4D1S5,GO:0016740
A4D1S5,GO:0043168
A4D1S5,GO:0016817
A4D1S5,GO:0017076
A4D1S5,GO:0017111
A4D1S5,GO:0032555
A4D1S5,GO:0061660
A4D1S5,GO:0043167
A4D1S5,GO:0008641
A4D1S5,GO:0016874
A4D1S5,GO:0140657
A4D1S5,GO:0019778
A4D1S5,GO:0032553
A4D1S5,GO:0005515
A4D1S5,GO:0097367
A4D1S5,GO:0016877
A4D1S5,GO:0000166
A4D1S5,GO:0016818
A4D1S5,GO:0005488
A4D1S5,GO:1901265
A4D1S5,GO:0003925
A4D1S5,GO:1901363
A4D1S5,GO:0003924
A4D1S5,GO:0061650
A4D1S5,GO:0035639
A4D1S5,GO:0016746
A4D1S5,GO:0061659
A4D1S5,GO:0019786
A4D1S5,GO:0019001
A4D1S5,GO:0016887
A4D1S5,GO:0016462
A4D1S5,GO:0016755
A4D1S5,GO:0003824
A4D1S5,GO:0003674
A4D1S5,GO:0098772
A4D1S5,GO:0016787
A4D1S5,GO:0019777
A4D1S5,GO:0036094
A4D1S5,GO:0061651
A4D1S5,GO:0032561
A4D1S5,GO:0140096
A4D1T9,GO:0004252
A4D1T9,GO:0003824
A4D1T9,GO:0004175
A4D1T9,GO:0003674
A4D1T9,GO:0016787
A4D1T9,GO:0017171
A4D1T9,GO:0008233
A4D1T9,GO:0008236
A4D1T9,GO:0140096
A4D1Z8,GO:0003674
A4D1Z8,GO:0005488
A4D1Z8,GO:0030246
A4D256,GO:0042578
A4D256,GO:0016788
A4D256,GO:0016791
A4D256,GO:0003824
A4D256,GO:0003674
A4D256,GO:0016787
A4D256,GO:0004721
A4D256,GO:0140096
A4D2B0,GO:0004519
A4D2B0,GO:0005488
A4D2B0,GO:0043167
A4D2B0,GO:0004518
A4D2B0,GO:0003824
A4D2B0,GO:0140640
A4D2B0,GO:0003674
A4D2B0,GO:0043169
A4D2B0,GO:0036094
A4D2B0,GO:0005515
A4D2B0,GO:0140098
A4D2B0,GO:0046872
A4D2B0,GO:0004540
A4D2B8,GO:0005488
A4D2B8,GO:0016887
A4D2B8,GO:0016462
A4D2B8,GO:0140657
A4D2B8,GO:0016817
A4D2B8,GO:0140097
A4D2B8,GO:0003824
A4D2B8,GO:0140640
A4D2B8,GO:0003674
A4D2B8,GO:0098772
A4D2B8,GO:0016787
A4D2B8,GO:0017111
A4D2B8,GO:0003676
A4D2B8,GO:0005515
A4D2B8,GO:0008094
A4D2B8,GO:0003677
A4D2B8,GO:0016818
A4D2G3,GO:0004930
A4D2G3,GO:0060089
A4D2G3,GO:0005488
A4D2G3,GO:0004984
A4D2G3,GO:0038023
A4D2G3,GO:0003674
A4D2G3,GO:0004888
A4D2P6,GO:0005488
A4D2P6,GO:0003674
A4D2P6,GO:0005515
A4FU49,GO:0060090
A4FU49,GO:0005488
A4FU49,GO:0003674
A4FU49,GO:0030674
A4FU49,GO:0005515
A4FU69,GO:0005488
A4FU69,GO:0003674
A4FU69,GO:0005509
A4FU69,GO:0043169
A4FU69,GO:0043167
A4FU69,GO:0036094
A4FU69,GO:0046872
A4GXA9,GO:0004519
A4GXA9,GO:0030674
A4GXA9,GO:0140097
A4GXA9,GO:0140640
A4GXA9,GO:0060090
A4GXA9,GO:0005515
A4GXA9,GO:0005488
A4GXA9,GO:0004536
A4GXA9,GO:0140767
A4GXA9,GO:0004518
A4GXA9,GO:0003824
A4GXA9,GO:0003674
A4GXA9,GO:0003676
A4GXA9,GO:0003677
A4IF30,GO:0003674
A4IF30,GO:0005215
A4IF30,GO:0022857
A4QMS7,GO:0005488
A4QMS7,GO:0003674
A4QMS7,GO:0005515
A4QPH2,GO:0016740
A4QPH2,GO:0016301
A4QPH2,GO:0016772
A4QPH2,GO:0003824
A4QPH2,GO:0003674
A4UGR9,GO:0005488
A4UGR9,GO:0008092
A4UGR9,GO:0044877
A4UGR9,GO:0003674
A4UGR9,GO:0051015
A4UGR9,GO:0005515
A4UGR9,GO:0003779
A5A3E0,GO:0005200
A5A3E0,GO:0019900
A5A3E0,GO:0005515
A5A3E0,GO:0019899
A5A3E0,GO:0005488
A5A3E0,GO:0019901
A5A3E0,GO:0005198
A5A3E0,GO:0003674
A5D6W6,GO:0005488
A5D6W6,GO:0030674
A5D6W6,GO:0016462
A5D6W6,GO:0016817
A5D6W6,GO:0003824
A5D6W6,GO:0008289
A5D6W6,GO:0003674
A5D6W6,GO:0016787
A5D6W6,GO:0005515
A5D6W6,GO:0060090
A5D6W6,GO:0016818
A5D8T8,GO:0005488
A5D8T8,GO:0030246
A5D8T8,GO:0003674
A5D8T8,GO:0005515
A5D8V6,GO:0019787
A5D8V6,GO:0016740
A5D8V6,GO:0016817
A5D8V6,GO:0043169
A5D8V6,GO:0017111
A5D8V6,GO:0061660
A5D8V6,GO:0043167
A5D8V6,GO:0140096
A5D8V6,GO:0008641
A5D8V6,GO:0016874
A5D8V6,GO:0140657
A5D8V6,GO:0019778
A5D8V6,GO:0005515
A5D8V6,GO:0016877
A5D8V6,GO:0005509
A5D8V6,GO:0046872
A5D8V6,GO:0016818
A5D8V6,GO:0005488
A5D8V6,GO:0061650
A5D8V6,GO:0016746
A5D8V6,GO:0061659
A5D8V6,GO:0019786
A5D8V6,GO:0016887
A5D8V6,GO:0016462
A5D8V6,GO:0016755
A5D8V6,GO:0003824
A5D8V6,GO:0003674
A5D8V6,GO:0016787
A5D8V6,GO:0019777
A5D8V6,GO:0036094
A5D8V6,GO:0061651
A5D8V7,GO:0005515
A5D8V7,GO:0005488
A5D8V7,GO:0003674
A5LHX3,GO:0005515
A5LHX3,GO:0008233
A5LHX3,GO:0005488
A5LHX3,GO:0004175
A5LHX3,GO:0003824
A5LHX3,GO:0003674
A5LHX3,GO:0016787
A5LHX3,GO:0140096
A5PKW4,GO:0005543
A5PKW4,GO:0030234
A5PKW4,GO:0005085
A5PKW4,GO:0008289
A5PKW4,GO:0005515
A5PKW4,GO:0005488
A5PKW4,GO:0060589
A5PKW4,GO:0030695
A5PKW4,GO:0003674
A5PKW4,GO:0098772
A5PL33,GO:0003674
A5PLL7,GO:0005488
A5PLL7,GO:0016705
A5PLL7,GO:0016491
A5PLL7,GO:0003824
A5PLL7,GO:0003674
